transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00028,2026-01-10T06:37:31Z,7.93,entertainment,US,False,False
txn_0000001,card_00132,2026-01-24T14:31:38Z,123.21,travel,SG,True,False
txn_0000002,card_00861,2026-01-02T10:12:07Z,192.52,grocery,DE,True,False
txn_0000003,card_00003,2026-01-01T19:19:51Z,503.32,atm_withdrawal,GB,False,False
txn_0000004,card_00208,2026-01-29T08:26:57Z,19.25,grocery,IN,False,False
txn_0000005,card_00807,2026-01-04T15:16:55Z,62.65,travel,AE,True,False
txn_0000006,card_00076,2026-01-02T12:54:12Z,55.0,atm_withdrawal,AE,False,False
txn_0000007,card_00566,2026-01-25T15:26:08Z,45.12,fuel,DE,True,False
txn_0000008,card_00077,2026-01-12T06:16:26Z,69.34,utilities,DE,True,False
txn_0000009,card_00328,2026-01-09T01:48:34Z,245.01,electronics,IN,False,False
txn_0000010,card_00162,2026-01-12T07:24:11Z,54.34,grocery,IN,True,False
txn_0000011,card_00340,2026-01-30T11:30:31Z,66.78,grocery,AE,False,False
txn_0000012,card_00115,2026-01-16T16:52:54Z,118.02,grocery,US,False,False
txn_0000013,card_00347,2026-01-14T01:40:37Z,140.65,grocery,DE,True,False
txn_0000014,card_00107,2026-01-05T11:07:42Z,21.08,travel,IN,False,False
txn_0000015,card_00135,2026-01-11T12:59:33Z,73.42,fuel,GB,False,False
txn_0000016,card_00178,2026-01-23T00:56:12Z,172.16,online_retail,AE,True,False
txn_0000017,card_00551,2026-01-10T20:32:13Z,120.42,atm_withdrawal,GB,False,False
txn_0000018,card_00738,2026-01-16T18:20:03Z,36.38,entertainment,SG,False,False
txn_0000019,card_00341,2026-01-20T12:43:05Z,56.74,fuel,DE,True,False
txn_0000020,card_00659,2026-01-01T07:15:44Z,138.51,restaurant,DE,False,False
txn_0000021,card_00713,2026-01-24T00:05:10Z,52.58,utilities,DE,False,False
txn_0000022,card_00566,2026-01-03T09:02:16Z,59.79,utilities,US,True,False
txn_0000023,card_00614,2026-01-25T16:21:32Z,47.37,grocery,US,True,False
txn_0000024,card_00374,2026-01-17T05:54:46Z,487.87,atm_withdrawal,GB,True,False
txn_0000025,card_00401,2026-01-15T09:13:41Z,72.89,fuel,AE,True,False
txn_0000026,card_00248,2026-01-09T23:46:55Z,20.99,atm_withdrawal,DE,True,False
txn_0000027,card_00453,2026-01-23T19:42:48Z,114.95,grocery,GB,False,False
txn_0000028,card_00804,2026-01-28T18:20:22Z,226.94,travel,SG,False,False
txn_0000029,card_00532,2026-01-27T02:49:46Z,135.66,travel,SG,False,False
txn_0000030,card_00860,2026-01-28T00:06:40Z,67.98,restaurant,SG,True,False
txn_0000031,card_00060,2026-01-15T17:26:13Z,132.23,electronics,GB,False,False
txn_0000032,card_00100,2026-01-15T10:22:46Z,15.13,atm_withdrawal,AE,False,False
txn_0000033,card_00624,2026-01-16T15:43:43Z,437.6,atm_withdrawal,GB,False,False
txn_0000034,card_00839,2026-01-30T02:38:24Z,484.66,pharmacy,SG,True,False
txn_0000035,card_00631,2026-01-01T05:16:20Z,31.38,restaurant,DE,True,False
txn_0000036,card_00387,2026-01-24T16:25:39Z,170.27,entertainment,AE,True,False
txn_0000037,card_00854,2026-01-08T17:42:35Z,41.98,restaurant,DE,True,False
txn_0000038,card_00776,2026-01-17T04:21:36Z,66.1,grocery,US,True,False
txn_0000039,card_00200,2026-01-10T17:43:02Z,92.0,pharmacy,SG,True,False
txn_0000040,card_00063,2026-01-09T18:15:03Z,12.47,fuel,DE,True,False
