transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00108,2026-01-17T07:19:35Z,restaurant,True,False,dev_003844,IN,1372
txn_0000501,card_00033,2026-01-14T04:32:05Z,travel,True,False,dev_003659,SG,6830
txn_0000502,card_00308,2026-01-17T02:16:19Z,pharmacy,False,False,dev_000845,SG,17616
txn_0000503,card_00298,2026-01-27T03:38:14Z,grocery,False,False,dev_002551,AE,6246
txn_0000504,card_00470,2026-01-11T08:02:41Z,online_retail,False,False,dev_004634,US,17340
txn_0000505,card_00688,2026-01-26T23:28:10Z,pharmacy,True,False,dev_002127,DE,12936
txn_0000506,card_00166,2026-01-05T22:36:54Z,entertainment,True,False,dev_002696,DE,15078
txn_0000507,card_00510,2026-01-14T10:22:40Z,travel,True,False,dev_000141,SG,5185
txn_0000508,card_00126,2026-01-16T06:33:44Z,atm_withdrawal,True,False,dev_004569,SG,10140
txn_0000509,card_00067,2026-01-09T21:12:10Z,electronics,True,False,dev_003434,GB,9338
txn_0000510,card_00293,2026-01-07T20:45:16Z,grocery,True,False,dev_003922,DE,7122
txn_0000511,card_00650,2026-01-03T02:41:42Z,travel,True,False,dev_003713,US,3312
txn_0000512,card_00661,2026-01-29T06:59:40Z,pharmacy,True,False,dev_001612,US,4462
txn_0000513,card_00196,2026-01-06T15:20:29Z,pharmacy,False,True,dev_001687,IN,80676
txn_0000514,card_00033,2026-01-06T07:50:31Z,grocery,False,False,dev_003494,US,99703
txn_0000515,card_00502,2026-01-28T08:37:52Z,fuel,True,False,dev_002350,DE,19970
txn_0000516,card_00213,2026-01-16T19:13:48Z,utilities,True,False,dev_000834,GB,7627
txn_0000517,card_00130,2026-01-18T20:19:57Z,utilities,False,False,dev_003993,IN,8507
txn_0000518,card_00739,2026-01-05T13:56:11Z,online_retail,True,True,dev_001477,AE,12555
txn_0000519,card_00808,2026-01-04T08:57:44Z,fuel,True,False,dev_001358,IN,978
txn_0000520,card_00241,2026-01-03T03:17:26Z,online_retail,False,False,dev_004538,US,3237
txn_0000521,card_00057,2026-01-18T02:13:30Z,travel,True,False,dev_000827,DE,17148
txn_0000522,card_00517,2026-01-10T18:49:25Z,entertainment,False,False,dev_004378,SG,29565
txn_0000523,card_00872,2026-01-08T00:59:12Z,atm_withdrawal,True,False,dev_004347,IN,28637
txn_0000524,card_00842,2026-01-16T10:02:12Z,pharmacy,False,True,dev_000338,GB,27821
txn_0000525,card_00370,2026-01-20T04:43:43Z,restaurant,True,False,dev_001957,IN,14921
txn_0000526,card_00627,2026-01-29T01:00:44Z,utilities,False,False,dev_002212,US,5163
txn_0000527,card_00863,2026-01-18T03:22:13Z,entertainment,True,False,dev_003680,US,443
txn_0000528,card_00341,2026-01-20T08:27:50Z,grocery,True,False,dev_004075,SG,7459
txn_0000529,card_00851,2026-01-29T01:39:02Z,online_retail,False,False,dev_000930,AE,1719
txn_0000530,card_00605,2026-01-21T16:52:41Z,utilities,True,False,dev_000680,SG,5430
txn_0000531,card_00755,2026-01-14T18:06:07Z,travel,True,False,dev_000766,US,3773
txn_0000532,card_00366,2026-01-25T23:01:46Z,grocery,False,False,dev_000277,SG,29317
txn_0000533,card_00257,2026-01-14T15:01:37Z,atm_withdrawal,True,False,dev_000062,IN,3002
txn_0000534,card_00317,2026-01-13T14:17:47Z,atm_withdrawal,False,False,dev_002399,IN,2617
txn_0000535,card_00439,2026-01-22T14:58:16Z,travel,False,False,dev_002280,SG,29298
txn_0000536,card_00469,2026-01-18T02:25:46Z,atm_withdrawal,False,False,dev_001080,AE,4961
txn_0000537,card_00612,2026-01-18T06:12:54Z,fuel,False,False,dev_000572,SG,6337
txn_0000538,card_00174,2026-01-09T23:19:28Z,online_retail,False,False,dev_000056,SG,3747
txn_0000539,card_00243,2026-01-11T07:54:03Z,travel,False,False,dev_001388,SG,1320
txn_0000540,card_00760,2026-01-03T01:17:56Z,pharmacy,True,False,dev_001689,GB,3508
txn_0000541,card_00268,2026-01-17T20:36:57Z,entertainment,False,False,dev_000854,IN,51020
txn_0000542,card_00431,2026-01-19T02:32:41Z,restaurant,True,False,dev_003354,GB,8561
txn_0000543,card_00034,2026-01-03T12:48:01Z,atm_withdrawal,False,False,dev_004705,IN,14351
txn_0000544,card_00013,2026-01-16T02:55:31Z,atm_withdrawal,False,False,dev_002114,GB,13154
txn_0000545,card_00042,2026-01-24T20:26:01Z,pharmacy,False,False,dev_003210,DE,144986
